"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert <#1>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","-----BEGIN CERTIFICATE----- MIIEgTCCA2mgAwIBAgIBGTANBgkqhkiG9w0BAQsFADA0MQswCQYDVQQGEwJGUjES MBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0aWduYTAeFw0wODExMTkx MzUyMzJaFw0xODExMTcxMzUyMzJaMGMxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlE aGlteW90aXMxFzAVBgNVBAsMDjAwMDIgNDgxNDYzMDgxMRowGAYDVQQDDBFDZXJ0 aWduYSBTU0wgUFJJUzELMAkGA1UEBRMCMjUwggEiMA0GCSqGSIb3DQEBAQUAA4IB DwAwggEKAoIBAQDDNhjsv4vHoHb8xg8I4PiGCx2uApFkyD/PmfgpoCdMqPqpM4Pn wPFb20Vu2hDSVmcRn3FexsAQaMj/Uy/CVUJfS74b4WvtH/66gF7mViJGaNwkcZ/N wkWr2lje5SSAk4iSCsaOEE5iSTD41d5qhHEa2qWbkM8WM/+OTCxuUuSb5ugai4Lp MUdnVsijp0A9s54zDcfyTfJIOg3Rn0IxDe2waeRnaezVJ8HbGFbp9H+3cbuRth3w cp3TIo+rAu9gIOEUrYtDwaT2+M1HMdlIKSYg0LEVB90uHyPXiQATViLXqpp3UsOp uMZRmm7Yk3OAKuhYawl9jRb/06ZhDcE5ug5lAgMBAAGjggFtMIIBaTAPBgNVHRMB Af8EBTADAQH/MA4GA1UdDwEB/wQEAwIBBjARBglghkgBhvhCAQEEBAMCAgQwFwYD VR0gBBAwDjAMBgoqgXoBgTEBAAEBMB0GA1UdDgQWBBSTzSbc2qsljwYgp9fx0gOr /65AazBkBgNVHSMEXTBbgBQa7f5BOZC0JFm+AfJS1UX2WjncEaE4pDYwNDELMAkG A1UEBhMCRlIxEjAQBgNVBAoMCURoaW15b3RpczERMA8GA1UEAwwIQ2VydGlnbmGC CQD+3OMBD8lI/zAyBglghkgBhvhCAQQEJRYjaHR0cDovL2NybC5jZXJ0aWduYS5m ci9jZXJ0aWduYS5jcmwwYQYDVR0fBFowWDApoCegJYYjaHR0cDovL2NybC5jZXJ0 aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuZGhpbXlvdGlz LmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcNAQELBQADggEBAHpFr4hkb9StNC/6 GsoGJZjqe+nPGBmLG/NjMVIf1k3vIDSlUUBEd/U2AcpZxkUsR5iKQ80z9HZpGH0M ZBoPYVG70tCSFT9X4726WlUbhar3a6SnJ+kzPMbly/Kt49rcR3JPvcUtNg/MS75o h2CJsSz17Mm6kF7KfuGKD8eeobi56INg5uoNcJegn6NofZbg86GPHxEvLJLwDHGf tDJu4Cri3FoyEXLR1GO/E4qJI8pkoXQ0ZQl3l0a6z5goQwWYo9H+ED9x4RhkrDdq nfFLQLMrTSncMIJGR8f0khYAksVIFBHhbytTC6Roh0EH130kNVEA4eytYP2dhBte Il5s0yo= -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","35A90DEB8BF4BD7C23BDE61E065B6EBED236172F342D8F29C65D97F3EC0E10E4","",""
"intermediate_cert_notBefore <#1>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","2008-11-19 13:52","",""
"intermediate_cert_notAfter <#1>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","CRITICAL","2018-11-17 13:52","",""
"intermediate_cert_expiration <#1>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","CRITICAL","expired!","",""
"intermediate_cert_chain <#1>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","25 <-- Certigna","",""
"intermediate_cert <#2>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","-----BEGIN CERTIFICATE----- MIIDqDCCApCgAwIBAgIJAP7c4wEPyUj/MA0GCSqGSIb3DQEBBQUAMDQxCzAJBgNV BAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAPBgNVBAMMCENlcnRpZ25hMB4X DTA3MDYyOTE1MTMwNVoXDTI3MDYyOTE1MTMwNVowNDELMAkGA1UEBhMCRlIxEjAQ BgNVBAoMCURoaW15b3RpczERMA8GA1UEAwwIQ2VydGlnbmEwggEiMA0GCSqGSIb3 DQEBAQUAA4IBDwAwggEKAoIBAQDIaPHJ1tazNHUmgh7stL7qXOEm7RFHYeGifBZ4 QCHkYJ5ayGPhxLGWkv8YbWkj4Sti993iNi+RB7lIzw7sebYs5zRLcAglozyHGxny gQcPOJAZ0xH+hrTy0V4eHpbNgGzOOzGTtvKg0KmVEn2lmsxryIRWijOp5yIVUxbw zBfsV1/pogqYCd7jX5xv3EjjhQsVWqa6n6xI4wmy9/Qy3l40vhx4XUJbzg4ij02Q 130yGLMLLGq/jj8UEYkgDncUtT2UCIf3JR7VsmAA7G8qKCVuKj4YYxclPz5EIBb2 JsglrgVKtOdjLPOMFlN+XPsRGgjBRmKfIrjxwo1p3Po6WAbfAgMBAAGjgbwwgbkw DwYDVR0TAQH/BAUwAwEB/zAdBgNVHQ4EFgQUGu3+QTmQtCRZvgHyUtVF9lo53BEw ZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF9lo53BGhOKQ2MDQxCzAJBgNVBAYT AkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAPBgNVBAMMCENlcnRpZ25hggkA/tzj AQ/JSP8wDgYDVR0PAQH/BAQDAgEGMBEGCWCGSAGG+EIBAQQEAwIABzANBgkqhkiG 9w0BAQUFAAOCAQEAhQMeknH2Qq/ho2Ge6/PAD/Kl1NqV5ta+aDY9fm4fTIrv0Q8h bV6lUmPOEvjvKtpv6zf+EwLHyzs+ImvaYS5/1HI93TDhHkxAGYwP15zRgzB7mFnc fca5DClMoTOi62c6ZYTTluLtdkVwj7Ur3vkj1kluPBS1xp81HlDQwY9qcEQCYsuu HWhBp6pX6FOqB9IG9tUUBguRA3UsbHK1YZWaDYu5Def131TN3ubY1gkIl2PlwS6w t0QmwCbAr1UwnjvVNioZBPRcHv/PLLf/0P2HQBHVESO7SMAhqaQoLf0V+LBOK/Qw WyH8EZE0vkHve52Xdf+XlcCWWC/qu0bXu+TZLg== -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","E3B6A2DB2ED7CE48842F7AC53241C7B71D54144BFB40C11F3F1D0B42F5EEA12D","",""
"intermediate_cert_notBefore <#2>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","2007-06-29 15:13","",""
"intermediate_cert_notAfter <#2>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","2027-06-29 15:13","",""
